user,comment,time,like
深秋的雨Y,中考上岸！！！！！！！！！！！！！！！！！！！！！！！！！,2025-07-05 00:06:45,1
热光,《由你选择》是不是？你听听看,2025-07-04 23:54:17,0
给我一片睡睡丸,毕业后走的每一步都好难走,2025-07-04 23:48:55,0
-_好好睡觉-_-,感谢7.4日 点歌！！！,2025-07-04 23:30:50,1
情歌小莹,我的朋友我将会是你永远的后盾 我会让你知道这个世界上不能没有朋友,2025-07-04 23:20:41,0
相聚西街晚,关关是难关 但我们关关过,2025-07-04 23:12:41,0
情歌小莹,"我将会是你永远的后盾
我会让你知道这个世界上不能没有朋友",2025-07-04 23:11:42,1
情歌小莹,我将会是你永远的后盾 我会让你知道这个世界上不能没有朋友,2025-07-04 23:09:51,1
Jul10_sy,"啊 这么松
",2025-07-04 23:08:24,0
vz三i,豪庭,2025-07-04 23:01:00,0
贰旧旧,有好消息吗,2025-07-04 22:58:27,0
泡泡与秋,谢谢老林今天在鸟巢唱了这首歌[流泪],2025-07-04 22:16:53,3
leebullet,顺利毕业 顺利发文章 ,2025-07-04 21:42:32,0
Mairichforever,广东要是没有你就完美了,2025-07-04 21:29:15,2
犯困大王_1,距离查中考成绩还有11天，一定要上岸啊,2025-07-04 21:13:35,2
还可能继续_,加油,2025-07-04 21:02:01,0
还可能继续_,不是考完了吗,2025-07-04 21:01:47,0
小桥深巷雨,莫名其妙 谁会知道,2025-07-04 20:57:43,0
海天一色8868,期末加油,2025-07-04 20:37:07,0
hut_D,哈哈,2025-07-04 19:37:25,0
腊九冬八,我也没有见过陆,2025-07-04 19:37:11,0
电视台高贵VOICELOID,这次一定去一中,2025-07-04 19:18:02,0
电视台高贵VOICELOID,中考加油,2025-07-04 19:17:49,1
麻辣烫吃不吃辣吃不吃,怎么样？,2025-07-04 19:14:07,0
小沅_ki0a,考上了嘛,2025-07-04 19:11:00,0
W1my,我嘞个痘！真心喜欢国美的建筑,2025-07-04 18:46:46,0
江芜A_,哈喽,2025-07-04 18:43:20,0
你是条不归路,不信,2025-07-04 18:35:36,0
桔梗固榆,恭喜啊,2025-07-04 17:59:52,0
蛤蛤_hhh,加油加油！！！！,2025-07-04 17:36:36,0
蛤蛤_hhh,在不想听听力的时候看到你这条评论！！,2025-07-04 17:35:39,0
蛤蛤_hhh,加油,2025-07-04 17:34:22,0
大Qbaby,是吗,2025-07-04 17:33:59,0
祖瑞江_,共勉,2025-07-04 17:12:19,0
今天没听够,每次不开心都听这首歌,2025-07-04 17:01:30,0
Miao软肋,加油,2025-07-04 16:11:11,0
是Uua呀,秒回了,2025-07-04 15:53:06,1
是Uua呀,OK呀,2025-07-04 15:52:55,1
PeacocK--2,@是Uua呀 歌很好听 所以 2025年在市蒙相遇吧[喜欢][喜欢],2025-07-04 15:52:25,2
TwelveN7,[大哭],2025-07-04 15:49:51,0
-Picriy-_,中考上岸[逢考必过][越来越好][开门红][加油呀][好运来][好日子][逢考必过][逢考必过][逢考必过][100分][100分][100分],2025-07-04 15:41:13,1
风替我拥抱你0,我恨这人情世故的社会,2025-07-04 15:28:13,1
清呈的无尽夏lo,复读上600！,2025-07-04 14:34:18,0
窝在被窝里睡觉觉,加油！,2025-07-04 14:12:29,0
懒翁,啊,2025-07-04 14:01:24,0
博L啊,这个岸我上定了,2025-07-04 13:51:23,2
压-星-河,考上没,2025-07-04 13:45:51,0
珊瑚点点白,前途,2025-07-04 13:21:04,0
清呈的无尽夏lo,复读一年，我一定行！,2025-07-04 13:02:52,4
争取不当恋爱脑,考的怎么样啊[可爱],2025-07-04 12:49:41,0
百晓生bxb,有没有类似这首歌的伴奏的歌！,2025-07-04 12:38:26,0
百晓生bxb,我趣，十年前！,2025-07-04 12:35:15,0
喜欢珍珠奶茶_,关关难过关关过 加油！！,2025-07-04 11:50:14,0
Braveryhearttt,差不多吧反正第一志愿,2025-07-04 11:12:10,0
单奏小猫,关关是难关 但我们关关过,2025-07-04 11:06:24,0
ilin小麟,中考上岸[好运来][好运来][好运来],2025-07-04 10:43:13,0
lcaill,不要为一个出轨的人失眠,2025-07-04 10:24:33,1
Mnigll,上岸了吗,2025-07-04 10:00:59,0
对着你的脸放了个响屁,"关关是难关，但我们关关过
",2025-07-04 09:12:31,1
温柔没有失约,前途,2025-07-04 08:47:56,0
天天天天-如愿,中考成功上岸 金榜题名,2025-07-04 08:32:33,1
小昕一米八八,加油,2025-07-04 05:51:44,0
奕人独奏,沾沾恭喜恭喜,2025-07-04 00:44:13,0
小豆豆008,"什么
",2025-07-04 00:32:14,0
锁骨泪痣,昨天下午被辞退了🤥,2025-07-04 00:06:00,0
阿皓咯,加油！ 我 你,2025-07-03 23:33:37,1
醉她诚,加油,2025-07-03 23:32:43,0
小淮睡不醒_,加油哦 怎么样考上了嘛 如果考上那我就恭喜你祝贺你考上自己理想的大学 如果没有考上 也希望你不要气馁至少努力过 拼过 祝你在将来的大学生活闪闪发光[憨笑],2025-07-03 23:32:38,0
元八lu,好棒啊！,2025-07-03 23:18:13,1
粑粑郝,如果可以 我希望我们可以在一起很久很久 如果不行的话 那我希望你幸福 当然 祝我一定一定一定一定要被理想大学录取[女孩][女孩][女孩],2025-07-03 23:08:35,0
茉莉Molly_0,是的 听完莫名其妙平静下来 能坐下来做事了,2025-07-03 22:46:01,1
白大胆吃饱了,我会熬过去的！期末考试全部高分通过了，我可以好好生活的！！！会开心的关关过！[吐舌],2025-07-03 22:44:37,1
下一个春_zYnB,来还愿啦！真的600+了[好听哭了],2025-07-03 22:14:14,0
黑玛季,你俩还合作了[强],2025-07-03 21:50:56,0
kimpel,嗯嗯 成绩出来时真的绷不住 中考他们好多抄的 真的不甘心,2025-07-03 21:49:28,0
-8ichie,没事了，还有高考呢,2025-07-03 21:48:21,0
kimpel,中考失利了😭真的从来没有想过 已经复查了 结果还没出来,2025-07-03 21:45:35,2
灰蝶的帆,姚中仁你的Rap又火了,2025-07-03 21:26:22,0
XtnargarF,听了这么久才知道最后一段不是C调,2025-07-03 21:13:59,0
Vivi吃薯条,和sch一起加油！,2025-07-03 21:07:50,0
z四叶草s,明天中考处分，祝所有人考上理想的高中[星星],2025-07-03 20:55:56,0
_Pgy,"收起你那该死的情绪 给我往上爬 我们高处见

逆境中无论多么艰难 你都没有理由关上窗户 放弃希望

宁愿被绊倒无数次 也不要规规矩矩地走一辈子",2025-07-03 20:35:30,0
背叛k,加油呗,2025-07-03 20:26:57,0
zero鹿苓,幸福就在下一个转角,2025-07-03 20:26:01,1
我勒个兜aaa,2028年考上南大！一言为定,2025-07-03 19:54:14,3
给你巧课角,张双男，关关难过关关过,2025-07-03 19:19:23,0
遇见爱了_,上岸！,2025-07-03 19:13:20,0
涵han-05,加油加油，不放弃！,2025-07-03 18:54:19,0
